Название,Описание,Жанр,Год,Страна,Теги/Эмоции,Ссылка
"Громче, чем бомбы","Одна семья, трое мужчин и три взгляда на любимую женщину. Стареющий плейбой и добродушный отец семейства, остепенившийся насмешливый старший сын и хмурый романтичный подросток хранят свои воспоминания о матери и жене, которая тихому пригороду Нью-Йорка предпочла военную фотографию. То забавные, то пронзительные истории о ней переплетаются с событиями сегодняшнего дня, где каждый из мужчин переживает новую любовь, которая все-таки громче, чем бомбы.",,,,,
История дикой природы,Документальный фильм о животных Приморья и Корейского полуострова. Ранее тигры и леопарды были частыми обитателями Корейского полуострова. Военные конфликты и техногенное развитие сильно сказались на их популяции. Как это отразилось на экологическом статусе региона? Ответ - в документальном расследовании.,Документальный,,,,
Земля тигров и леопардов,,,,,,
Потерянная земля тигров и леопардов,,,,,,
Ускользающая красота,"У Люси Хэрмон есть масса причин провести лето на вилле давних друзей семьи. В итальянской провинции Тоскана ей снова хочется встретиться с молодым человеком Николо, в которого она влюбилась четыре года назад, и которому подарила свой первый поцелуй. Также, немаловажно для неё найти своего настоящего отца, да ещё в дневнике матери Люси обнаруживает загадочную надпись, смысл которой может открыться ей только в Италии.",,,,,
BAFTA,,,,,,
Золотого глобуса,,,,,,
Читай по губам,,,,,,
Моё сердце биться перестало,,,,,,
Пророк,,,,,,
Ржавчина и кость,,,,,,
Дипан,,,,,,
Братья Систерс,,,,,,
Эмилия Перес,,,,,,
зеленым,"Приговоренный к шести годам тюрьмы, Малик Эль Джебена кажется на фоне других заключенных самым «зеленым» и самым уязвимым. Ему 19 лет. Он не умеет ни писать, ни читать. За стенами тюрьмы у него нет близких. Все меняется, когда Лучано, лидер авторитетной банды корсиканцев, решает поручить Малику ряд опасных и рискованных миссий… Выполнение любой из этих «миссий» под прессингом корсиканцев могло бы сломить кого угодно, но не его. Каждое задание закаляет Малика. Он быстро учится жизни в новом для себя мире. Завоевывает доверие корсиканцев и мусульман. И вскоре начинает вынашивать собственные дерзкие планы…",,,,,
миссий,"Приговоренный к шести годам тюрьмы, Малик Эль Джебена кажется на фоне других заключенных самым «зеленым» и самым уязвимым. Ему 19 лет. Он не умеет ни писать, ни читать. За стенами тюрьмы у него нет близких. Все меняется, когда Лучано, лидер авторитетной банды корсиканцев, решает поручить Малику ряд опасных и рискованных миссий… Выполнение любой из этих «миссий» под прессингом корсиканцев могло бы сломить кого угодно, но не его. Каждое задание закаляет Малика. Он быстро учится жизни в новом для себя мире. Завоевывает доверие корсиканцев и мусульман. И вскоре начинает вынашивать собственные дерзкие планы…",,,,,
Тамильских тигров,"Боевик «Тамильских тигров» бежит из Шри-Ланки после окончания гражданской войны. Ради получения убежища во Франции он выдает незнакомую женщину с ребенком за свою семью. Трое беглецов поселяются в предместье Парижа и постепенно сближаются, особенно перед лицом жестокости иммигрантских кварталов.",,,Франция,,
Мертвец,"Ли Ман-джэ зарабатывает на жизнь, участвуя в качестве подставного лица в сделках различных организаций. Но однажды, после того как он в очередной раз позволил компании использовать свое имя, его обвиняют в хищении огромной суммы и вынуждают инсценировать собственную смерть. Оказавшись на самом дне, Ман-джэ решает найти настоящего преступника.",,,,,
Профессиональный риск,"Жан Дусе и его жена Сюзанна работают учителями в маленьком городке. За десять лет работы они заслужили уважение его жителей. Но их спокойной жизни приходит конец, когда одна из учениц обвиняет Жана в попытке изнасилования. Позже, ещё две ученицы присоединяются к обвинениям. Положение Дусе становится трудным – ему грозит пожизненное заключение. Но Сюзанна твердо верит в невиновность мужа и прилагает все возможные и невозможные усилия для его оправдания…",,,,,
"Трилогия Кацци: Коянискацци, Поваккацци, Накойкацци","В 1975 году Годфри Реджио, человек, который провел 14 лет в молчании и молитвах, неожиданно пришел к идее снять фильм в абсолютно новом стиле. Он задумал взять образы из реальной жизни – эмоциональные, сырые, откровенные картины – и представить их в невербальной, нелинейной форме, создав, таким образом, своего рода киноконцерт. В каждом из фильмов трилогии использован особый стиль.⬇️",Документальный,1975,,,
Коянискацци,,,,,,
Поваккацци,,,,,,
Накойкацци,,,,,,
"война, как образ жизни",,,,,,
Назар Стодоля,"Сюжет построен на традиционном любовном треугольнике: красавица Галя, отважный крестьянский парень Назар Стодоля и злодей-отец Гали, сотник Хома Кичатый, который хочет выдать дочь за старого, но богатого полковника Молочая. Назару Стодоле, заручившемуся поддержкой своего верного друга Гната, удается победить сотника и под угрозой смерти заставить Хому отступиться от своих намерений. Вместе с похищенной Галей счастливый Назар отправляется в Запорожскую Сечь начинать новую жизнь. Главные роли - Домиан Козачковский и Таисия Литвиненко.",,,,,
Шербурские зонтики,,,,,,
8 женщин,,,,,,
Отчаянная домохозяйка,,,,,,
Встреча,,,,,,
Певичка,,,,,,
Автомобиль,,,,,,
Легенды и мифы Древней Греции,,Документальный,,,,
Возвращение с Олимпа,,,,,,
Аргонавты,,,,,,
Персей,,,,,,
Прометей,,,,,,
Геракл у Адмета,,,,,,
Скрытые фигуры,"Команда афро-американок проводит для НАСА ряд математических вычислений, необходимых для запуска первой космической миссии.",,,США,,
Христиане,"Для проведения слушания по обвинению в растрате и мошенничестве свидетелей приводят к присяге, но Пелагея Караулова отказалась принимать присягу... Первая, по-настоящему главная, роль Любови Полищук.",,,,,
5 сентября,"Действие фильма происходит во время летних Олимпийских игр в Мюнхене 1972 года. В центре истории оказывается Джеффри Мейсон - молодой и амбициозный продюсер, который стремится доказать своему боссу - известному телеведущему Руну Арледжу, что он готов вести самостоятельно ответственные трансляции. Но когда группа террористов берет в заложники израильских спортсменов, то именно Джеффри берет на себя управление прямым эфиром. По мере того, как ситуация накаляется, жизнь заложников висит на волоске, а непроверенные слухи молниеносно распространяются, Мейсону приходится принимать сложные решения, сталкиваясь с собственными моральными противоречиями.",,1972,,,
Французский связной,,,,,,
Фирма,,,,,,
Миссисипи в огне,,,,,,
Непрощенный,,,,,,
Непрощённый,"История Уильяма Мунни — бывшего хладнокровного убийцы, нашедшего в себе силы покончить с грязным ремеслом. Он стал фермером, завел семью. Но все складывается совсем не так, как ему хотелось. В полях: Клинт Иствуд, Джин Хэкмен и другие.",,,,,
Конклав,"После внезапной смерти Папы кардиналы готовятся к конклаву - выбору нового главы католической церкви. Руководить этим сакральным таинством поручено кардиналу Лоуренсу. Но вскоре он понимает, что среди высшего духовенства готовится заговор, и узнаёт тайну, которая может пошатнуть самые основы церкви…",,,,,
Анора,"Нью-Йорк. Стриптизерша Анора знакомится с Ваней, сыном российского олигарха, который проводит всё время в развлечениях. Ваня выкупает время Аноры на неделю и предлагает слетать в Вегас...",,,,,
Носферату,"История о преследуемой призраками девушке и влюбленном в нее вампире. Фильм исследует темы одержимости, желания и природы зла, сочетая ужас с эмоциональной глубиной.",,,,,
Поток,"Происходит глобальное наводнение, и черный кот вынужден искать убежище в лодке вместе с другими животными.",Анимация,,,,
Быть лучше. История Робби Уильямса,"С самого детства Робби Уильямс чувствовал себя немного диким. Стремясь доказать своему отцу, чего он стоит, Робби решает рискнуть всем и начать музыкальную карьеру. Однако ни роскошная жизнь миллионера, ни стадионы поклонников не меняют то, как он себя видит.",,,,,
Мария,"Сентябрь 1977 года. Мария Каллас, всемирно известная оперная дива на ранней пенсии, живет в роскошной парижской квартире с двумя пуделями, кухаркой и дворецким. Работа первой, помимо готовки, заключается в том, чтобы говорить Марии комплименты. Второй с утра до ночи передвигает для нее по дому огромный рояль, считает её таблетки, забирает её из ресторанов и пытается убедить побеседовать наконец не с галлюцинациями, а со специалистом.",,1977,,,
