Название,Описание,Жанр,Год,Страна,Теги/Эмоции,Ссылка
В чёрной тюрьме было лицо моё,"Фильм о том, как советский народ любит Владимира Ильича Ленина. Песня «В чёрной тюрьме было лицо моё» - о том, как Ленин преобразил Среднюю Азию. Феодальные и исламские пережитки были уничтожены, на их место пришли современное образование, новая техника и социалистические отношения. Во второй песне - «Мы любили его…» - показана реакция всех народов Союза на смерть Ленина. Кинохроника похорон и картины жизни во всех уголках Родины перемешиваются, и создаётся впечатление, что смерть Ленина приостановила жизнь во всём Советском Союзе. Третья песня - «В большом каменном городе» - о том, как народы Союза продолжают дело Ленина и какие громадные достижение произошли в стране после его смерти. Интервью с передовиками производства, кадры великих строек, радость народа - всё это доказывает, что Ленин жил и трудился не зря…",,,Россия / СССР,,
Мы любили его…,"Фильм о том, как советский народ любит Владимира Ильича Ленина. Песня «В чёрной тюрьме было лицо моё» - о том, как Ленин преобразил Среднюю Азию. Феодальные и исламские пережитки были уничтожены, на их место пришли современное образование, новая техника и социалистические отношения. Во второй песне - «Мы любили его…» - показана реакция всех народов Союза на смерть Ленина. Кинохроника похорон и картины жизни во всех уголках Родины перемешиваются, и создаётся впечатление, что смерть Ленина приостановила жизнь во всём Советском Союзе. Третья песня - «В большом каменном городе» - о том, как народы Союза продолжают дело Ленина и какие громадные достижение произошли в стране после его смерти. Интервью с передовиками производства, кадры великих строек, радость народа - всё это доказывает, что Ленин жил и трудился не зря…",,,Россия / СССР,,
В большом каменном городе,"Фильм о том, как советский народ любит Владимира Ильича Ленина. Песня «В чёрной тюрьме было лицо моё» - о том, как Ленин преобразил Среднюю Азию. Феодальные и исламские пережитки были уничтожены, на их место пришли современное образование, новая техника и социалистические отношения. Во второй песне - «Мы любили его…» - показана реакция всех народов Союза на смерть Ленина. Кинохроника похорон и картины жизни во всех уголках Родины перемешиваются, и создаётся впечатление, что смерть Ленина приостановила жизнь во всём Советском Союзе. Третья песня - «В большом каменном городе» - о том, как народы Союза продолжают дело Ленина и какие громадные достижение произошли в стране после его смерти. Интервью с передовиками производства, кадры великих строек, радость народа - всё это доказывает, что Ленин жил и трудился не зря…",,,Россия / СССР,,
Колыбельная,"Этим фильмом искренне веривший в коммунистические идеалы автор-режиссёр хотел показать, что в Советском Союзе история сошла с бесконечного круга страданий и совершила невиданный доселе счастливый виток, перестав быть историей бед и войн. Вертов хотел сделать картину о счастливой судьбе советской женщины от рождения и до старости (иногда «Колыбельную» даже называют «энциклопедией феминизма» образца 1937 года). Героини фильма сбрасывали чёрные паранджи и в белых трусах и майках бодро маршировали по Красной площади, неся на плечах детей и гигантские чаши с фруктами... Фильм «Колыбельная» - своеобразный ответ Дзиги Вертова на фильм Дейвида Уорка Гриффита «Нетерпимость» (1916). Картина замышлялась как гимн новой судьбе женщины и человечества. Единственный мужчина в этой картине - Сталин… Несмотря на вполне просоветский замысел, «Колыбельную» в СССР почти сразу запретили. А вот в золотом фонде мирового кинематографа она осталась навсегда.",,1937,Россия / СССР,,
Колыбельную,"Этим фильмом искренне веривший в коммунистические идеалы автор-режиссёр хотел показать, что в Советском Союзе история сошла с бесконечного круга страданий и совершила невиданный доселе счастливый виток, перестав быть историей бед и войн. Вертов хотел сделать картину о счастливой судьбе советской женщины от рождения и до старости (иногда «Колыбельную» даже называют «энциклопедией феминизма» образца 1937 года). Героини фильма сбрасывали чёрные паранджи и в белых трусах и майках бодро маршировали по Красной площади, неся на плечах детей и гигантские чаши с фруктами... Фильм «Колыбельная» - своеобразный ответ Дзиги Вертова на фильм Дейвида Уорка Гриффита «Нетерпимость» (1916). Картина замышлялась как гимн новой судьбе женщины и человечества. Единственный мужчина в этой картине - Сталин… Несмотря на вполне просоветский замысел, «Колыбельную» в СССР почти сразу запретили. А вот в золотом фонде мирового кинематографа она осталась навсегда.",,1937,Россия / СССР,,
энциклопедией феминизма,"Этим фильмом искренне веривший в коммунистические идеалы автор-режиссёр хотел показать, что в Советском Союзе история сошла с бесконечного круга страданий и совершила невиданный доселе счастливый виток, перестав быть историей бед и войн. Вертов хотел сделать картину о счастливой судьбе советской женщины от рождения и до старости (иногда «Колыбельную» даже называют «энциклопедией феминизма» образца 1937 года). Героини фильма сбрасывали чёрные паранджи и в белых трусах и майках бодро маршировали по Красной площади, неся на плечах детей и гигантские чаши с фруктами... Фильм «Колыбельная» - своеобразный ответ Дзиги Вертова на фильм Дейвида Уорка Гриффита «Нетерпимость» (1916). Картина замышлялась как гимн новой судьбе женщины и человечества. Единственный мужчина в этой картине - Сталин… Несмотря на вполне просоветский замысел, «Колыбельную» в СССР почти сразу запретили. А вот в золотом фонде мирового кинематографа она осталась навсегда.",,1937,Россия / СССР,,
Нетерпимость,"Этим фильмом искренне веривший в коммунистические идеалы автор-режиссёр хотел показать, что в Советском Союзе история сошла с бесконечного круга страданий и совершила невиданный доселе счастливый виток, перестав быть историей бед и войн. Вертов хотел сделать картину о счастливой судьбе советской женщины от рождения и до старости (иногда «Колыбельную» даже называют «энциклопедией феминизма» образца 1937 года). Героини фильма сбрасывали чёрные паранджи и в белых трусах и майках бодро маршировали по Красной площади, неся на плечах детей и гигантские чаши с фруктами... Фильм «Колыбельная» - своеобразный ответ Дзиги Вертова на фильм Дейвида Уорка Гриффита «Нетерпимость» (1916). Картина замышлялась как гимн новой судьбе женщины и человечества. Единственный мужчина в этой картине - Сталин… Несмотря на вполне просоветский замысел, «Колыбельную» в СССР почти сразу запретили. А вот в золотом фонде мирового кинематографа она осталась навсегда.",,1937,Россия / СССР,,
Бесславные ублюдки,"Вторая мировая война, в оккупированной немцами Франции группа американских солдат-евреев наводит страх на нацистов, жестоко убивая и скальпируя солдат. Главная роль – Брэд Питт.",,,США,,
Гитлерюгенда,"Гитлеровская Германия. У немного стеснительного 10-летнего Йоханнеса Бетслера, члена «Гитлерюгенда» и большого поклонника официального курса, есть лучший друг - воображаемый Адольф Гитлер. Хоть мальчик сам ещё никак не научится завязывать шнурки, он отправляется на выходные в военно-патриотический лагерь, где, не решившись убить кролика, получает прозвище Кролик Джоджо. А после, пытаясь доказать окружающим свою смелость, парень случайно подрывается на гранате. Но вскоре у Джоджо появится более веская причина для волнения, чем собственные шрамы, - он выясняет, что мама прячет в доме еврейскую девушку.",,,Германия,,
Макбет,"Киноверсия, основанная на истории реального Макбета - короля Шотландии, представляется режиссером как архетипичная история об опасности чрезмерной жажды власти и измене друзьям.",,,,,
Трагедия Макбета,"Ведьмы убеждают шотландского лорда Макбета в том, что ему суждено стать королём. Предавая друзей и следуя советам честолюбивой жены, он выбирает зло способом достижения своих целей.",,,,,
Ричард III,"Киноверсия знаменитой шекспировской пьесы переносит нас из средневековья в не менее кровавые тридцатые годы XX столетия. Гражданская война заканчивается убийством короля. Кажется, что за судьбу трона можно не беспокоиться, так как есть прямой наследник - старший сын короля. Но у младшего брата - Ричарда на этот счет свое мнение. Ричард слишком амбициозен и его претензии на престол приносят большой вред как семье, так и стране в целом. Волей судьбы Ричард занимает трон…",,,,,
Ближний круг,"Время действия – с 1939 по 1953 годы. Пора жесткой тирании, когда погибли миллионы безвинно репрессированных. Но были и другие – особая категория приближенных к вождю людей, так называемый «ближний круг». Именно туда забрасывает судьба героя фильма, киномеханика Саньшина – доброго, восторженно-простодушного и слепо обожающего «вождя народов»…",Драма,1939,,,
ближний круг,"Время действия – с 1939 по 1953 годы. Пора жесткой тирании, когда погибли миллионы безвинно репрессированных. Но были и другие – особая категория приближенных к вождю людей, так называемый «ближний круг». Именно туда забрасывает судьба героя фильма, киномеханика Саньшина – доброго, восторженно-простодушного и слепо обожающего «вождя народов»…",Драма,1939,,,
вождя народов,"Время действия – с 1939 по 1953 годы. Пора жесткой тирании, когда погибли миллионы безвинно репрессированных. Но были и другие – особая категория приближенных к вождю людей, так называемый «ближний круг». Именно туда забрасывает судьба героя фильма, киномеханика Саньшина – доброго, восторженно-простодушного и слепо обожающего «вождя народов»…",Драма,1939,,,
"Хрусталёв, машину","В последнюю зимнюю ночь 1953 года московский истопник Федя Арамышев по дороге на работу соблазняется блестящей фигуркой на радиаторе пустого, засыпанного снегом «Опеля», стоящего на обочине. Откуда было знать бедному Феде, что из-за легкомысленного поступка он попадет в историю, связанную с «делом врачей», оперативными планами МГБ и высокой политики. Эта история так и останется для него неизвестной, он так и не поймет, из-за чего получил десять лет лагерей…",,1953,,,
Капитан Волконогов бежал,"Ленинград, 1938 год. Сотрудник органов капитан Фёдор Волконогов, прежде находившийся на хорошем счету у начальства, вынужден пуститься в бега и скрываться от бывших сослуживцев. Ночью ему является расстрелянный накануне коллега и сообщает, что в аду его уже заждались муки вечные, но этого можно избежать, если перед смертью покаяться, и хотя бы один человек его простит. Капитан Волконогов оправляется по родственникам репрессированных в поисках прощения.",,1938,,,
Телец,"Второй фильм тетралогии Александра Сокурова. Первая часть была о Гитлере, теперь настал черёд Ленина. Он показан в «Тельце» на излёте жизни - больным, беспомощным, порою жалким… Недавний «вождь мирового пролетариата», он отчётливо понимает, что дни его сочтены, и настал час расплаты…",,,,,
Тельце,"Второй фильм тетралогии Александра Сокурова. Первая часть была о Гитлере, теперь настал черёд Ленина. Он показан в «Тельце» на излёте жизни - больным, беспомощным, порою жалким… Недавний «вождь мирового пролетариата», он отчётливо понимает, что дни его сочтены, и настал час расплаты…",,,,,
вождь мирового пролетариата,"Второй фильм тетралогии Александра Сокурова. Первая часть была о Гитлере, теперь настал черёд Ленина. Он показан в «Тельце» на излёте жизни - больным, беспомощным, порою жалким… Недавний «вождь мирового пролетариата», он отчётливо понимает, что дни его сочтены, и настал час расплаты…",,,,,
Солнце,"Действие картины происходит в оккупированной Японии с конца августа 1945 по 1 января 1946 года - в период между двумя решениями царственной особы: объявлением о капитуляции в войне и отречением от своего божественного статуса. Хирохито мог покончить с собой, как это сделали после капитуляции более 500 японских офицеров, но император, приняв личное бесчестье, - избавляет от позора нацию. Как удалось императору Хирохито и генералу Макартуру найти формулу решения сложнейшей проблемы - сберечь огромное число людей? Это пример того, как правители могут поставить свою жизнь на карту ради интересов своих граждан.",,1945,,,
Фауст,"Сюжетной основой является первая часть поэтической драмы Гете, где повествование, в основном, строится на любовной линии Фауст-Маргарита.",,,,,
Сказка,"«… Жили-были два бродяги… Нет… Три… Да нет же — четыре… Но были и другие, разные… Я их знал. Долго. Годы. Потом что-то случилось, и они исчезли. На протяжении многих лет я о них ничего не слышал. Жили-были… и их было четверо… Я был погружён в жизнь и беды новые. Но последние годы ко мне являлось смутное чувство, что округ меня ходят, ходят, ходят… По ночам слышались голоса, обрывки сложных вопросов, слова на чужих языках, стоны, вой миллионов голосов… Неизъяснимое волнение охватило меня… Этой ночью хляби небесные разверзлись… И… понеслось…».",,,,,
"… Жили-были два бродяги… Нет… Три… Да нет же — четыре… Но были и другие, разные… Я их знал. Долго. Годы. Потом что-то случилось, и они исчезли. На протяжении многих лет я о них ничего не слышал. Жили-были… и их было четверо… Я был погружён в жизнь и беды новые. Но последние годы ко мне являлось смутное чувство, что округ меня ходят, ходят, ходят… По ночам слышались голоса, обрывки сложных вопросов, слова на чужих языках, стоны, вой миллионов голосов… Неизъяснимое волнение охватило меня… Этой ночью хляби небесные разверзлись… И… понеслось…","«… Жили-были два бродяги… Нет… Три… Да нет же — четыре… Но были и другие, разные… Я их знал. Долго. Годы. Потом что-то случилось, и они исчезли. На протяжении многих лет я о них ничего не слышал. Жили-были… и их было четверо… Я был погружён в жизнь и беды новые. Но последние годы ко мне являлось смутное чувство, что округ меня ходят, ходят, ходят… По ночам слышались голоса, обрывки сложных вопросов, слова на чужих языках, стоны, вой миллионов голосов… Неизъяснимое волнение охватило меня… Этой ночью хляби небесные разверзлись… И… понеслось…».",,,,,
Сквозь снег,"Земля. Недалекое будущее. Семнадцать лет назад на планете произошла техногенная катастрофа. Там, где раньше росли леса и цвели сады, теперь лежат снег и лед. Жизнь сохранилась лишь в гигантском поезде, без остановки мчащемся по трансевразийской магистрали. В первых вагонах состава живет правящая элита, во множестве последних - простые люди. Жизнь в хвосте поезда напоминает концлагерь - болезни, нищета, беспредел надсмотрщиков. Но именно здесь из среды униженных и оскорбленных восстает человек, способный восстановить справедливость. Однако у каждой благородной идеи есть своя темная сторона, и любая революция пожирает своих детей.",,,,тревожность,
Лихорадка приходит в Эль-Пао,"Диктатор Мариано Варгас убит в результате военного переворота лейтенанта Гарсиа. И неожиданно в период смуты во главе южноамериканского острова Эль Пао оказывается Рамон Васкез, бывший до того мелким чиновником. Теперь новый либеральный правитель вынужден бороться с наследием диктаторского режима и зачастую идти на компромисс с собственной совестью… Главные роли в фильме сыграли крупные актёры мирового кино - Жерар Филип, Мария Феликс, Жан Сервэ.",Драма,,США,,
Алиса в стране чудес,"Анимационный фильм, основанный на книгах Льюиса Кэрролла. Убежав из дома, Алиса увидела под старой яблоней большого белого кролика, одетого в куртку и жилет. Достав из кармана часы, кролик торопливо скрылся в подозрительно темной норе. Набравшись смелости, Алиса шагнула вслед за ним…и попала в чудесный сказочный мир, где сбываются самые несбыточные фантазии. Чтобы попасть обратно домой, Алисе придется совершить путешествие через весь этот странный и причудливый мир, в котором ее поджидают совершенно невероятные приключения и совершенно фантастические существа…",Анимация,,,,
Античные секреты,"Тысячи лет природа и сам человек создавали и разрушали целые культуры и цивилизации. Многое из того, что веками олицетворяло собой облик земной расы, ушло безвозвратно или породило множество тайн и загадок, обросших невероятным количеством легенд и преданий. Многие поколения археологов, историков и просто ловцов удачи пытаются на свой страх и риск найти и раскрыть некоторые из них...",,,,,
Жертвоприношения,"Тысячи лет природа и сам человек создавали и разрушали целые культуры и цивилизации. Многое из того, что веками олицетворяло собой облик земной расы, ушло безвозвратно или породило множество тайн и загадок, обросших невероятным количеством легенд и преданий. Многие поколения археологов, историков и просто ловцов удачи пытаются на свой страх и риск найти и раскрыть некоторые из них...",,,,,
Мумии,"Тысячи лет природа и сам человек создавали и разрушали целые культуры и цивилизации. Многое из того, что веками олицетворяло собой облик земной расы, ушло безвозвратно или породило множество тайн и загадок, обросших невероятным количеством легенд и преданий. Многие поколения археологов, историков и просто ловцов удачи пытаются на свой страх и риск найти и раскрыть некоторые из них...",,,,,
Пирамиды,"Тысячи лет природа и сам человек создавали и разрушали целые культуры и цивилизации. Многое из того, что веками олицетворяло собой облик земной расы, ушло безвозвратно или породило множество тайн и загадок, обросших невероятным количеством легенд и преданий. Многие поколения археологов, историков и просто ловцов удачи пытаются на свой страх и риск найти и раскрыть некоторые из них...",,,,,
Сокровища,"Тысячи лет природа и сам человек создавали и разрушали целые культуры и цивилизации. Многое из того, что веками олицетворяло собой облик земной расы, ушло безвозвратно или породило множество тайн и загадок, обросших невероятным количеством легенд и преданий. Многие поколения археологов, историков и просто ловцов удачи пытаются на свой страх и риск найти и раскрыть некоторые из них...",,,,,
Тайны,"Тысячи лет природа и сам человек создавали и разрушали целые культуры и цивилизации. Многое из того, что веками олицетворяло собой облик земной расы, ушло безвозвратно или породило множество тайн и загадок, обросших невероятным количеством легенд и преданий. Многие поколения археологов, историков и просто ловцов удачи пытаются на свой страх и риск найти и раскрыть некоторые из них...",,,,,
Одержимость,"По роману Джеймса М. Кейна «Почтальон всегда звонит дважды». Это история адюльтера и убийства в итальянской провинции. Джино, бродягу и кочевника по натуре, рассматривающего любую привязанность как обузу, жизнь сталкивает с Джованной и ее мужем… Главные роли - Клара Каламаи и Массимо Джиротти.",,,,,
Почтальон всегда звонит дважды,"По роману Джеймса М. Кейна «Почтальон всегда звонит дважды». Это история адюльтера и убийства в итальянской провинции. Джино, бродягу и кочевника по натуре, рассматривающего любую привязанность как обузу, жизнь сталкивает с Джованной и ее мужем… Главные роли - Клара Каламаи и Массимо Джиротти.",,,,,
Самая красивая,"Маддалена Чеккони, жена простого рабочего, узнав, что на киностудии объявлен конкурс среди девочек 6-8 лет на главную роль, решает, что её дочери, малышке Марии, уготована судьба большой кинозвезды…",,,,,
Гибель богов,,,,,,
королей,,,,,,
Смерть в Венеции,"Переживающий духовный и творческий кризис композитор Густав фон Ашенбах приезжает весной 1911 года на курорт близ Венеции. Внезапно его поражает и очаровывает красота подростка Тадзио, сына польской аристократки. Смущенный своими чувствами, Ашенбах порывается уехать, но, к несчастью, заражается быстротечной вирусной инфекцией и последние мгновения жизни проводит на пляже, наблюдая за игрой и шалостями юного Тадзио... Главные роли – Дирк Богард и Бьёрн Андресен.",,,,,
Людвиг,"История последнего короля Баварии Людвига II (1845-1886) - короля-романтика и идеалиста, пытавшегося стать одним из самых просвещенных монархов Европы, поклонника и покровителя искусств.",,,,,
Семейный портрет в интерьере,"1970-е годы. В своей роскошной квартире одиноко живет профессор, интеллектуал и ученый, отрешенный и огражденный от реального мира. Но его покой нарушается с появлением маркизы Бьянки Брумонти, которая снимает верхний этаж его палаццо для своего молодого любовника Конрада. Обитателями этой квартиры становятся также дочь маркизы Льетта и ее жених Стефано. Вынужденный примириться с новыми жильцами, профессор начинает новую жизнь, полную беспокойств и волнений.",,1970,,,
Невинный,"Аристократ Туллио Эрмилио изменяет красавице жене со светской львицей графиней Раффо. Жена вызывает у него лишь тоску и приступы тихой ненависти. Но когда он узнает, что у Джулианы интрижка с молодым романистом, и ожидаемый ею ребенок, возможно, зачат не от него, в Туллио внезапно просыпается дикая ревность. Не в силах смириться с мыслью, что его тихая, верная Джулиана изменила ему, он идет на крайние меры...",,,,,
Жанна Дюбарри,"Жанна Вобернье, женщина из низшего сословия, выбивается из нищеты при помощи женских чар. Ее покровитель, граф Дюбарри, разбогатевший благодаря любовным интригам Жанны, желает представить ее королю и организует свидание через влиятельного герцога де Ришелье. Встреча выходит далеко за рамки его ожиданий - Жанна влюбляет в себя Людовика XV с первого взгляда своей непосредственностью. После знакомства с куртизанкой у короля вновь пробуждается вкус к жизни - настолько сильно, что он больше не может жить без Жанны и делает её своей официальной фавориткой. Однако, никто не желает видеть во главе двора простолюдинку, правящую королем.",,,,,
Блокада,,Документальный,,,,
Плезантвиль,"Дэвид Вагнер - дитя девяностых. Но он увлечен телевизионным шоу «Плезантвиль», где действие происходит в 50-е годы в небольшом одноименном городке, где все шикарны, веселы и непорочны, и жизнь удивительно приятна. Заворожённый этим утопическим миром Дэвид воображает себя в «Плезантвиле», где он наконец-то избавился бы от своей взбалмошной и помешанной на парнях сестры Дженнифер. И однажды вечером жизнь совершает причудливый поворот…",,,,,
Плезантвиле,"Дэвид Вагнер - дитя девяностых. Но он увлечен телевизионным шоу «Плезантвиль», где действие происходит в 50-е годы в небольшом одноименном городке, где все шикарны, веселы и непорочны, и жизнь удивительно приятна. Заворожённый этим утопическим миром Дэвид воображает себя в «Плезантвиле», где он наконец-то избавился бы от своей взбалмошной и помешанной на парнях сестры Дженнифер. И однажды вечером жизнь совершает причудливый поворот…",,,,,
Пёрл-Харбор,"Мирная жизнь двух друзей-летчиков рушится в одночасье, когда японская авиация совершает внезапное нападение на военную базу США в Пёрл-Харборе. Главные роли - Бен Аффлек, Джош Хартнетт и Кейт Бекинсейл.",,,США,,
Разоблачения ООН,,Документальный,,,,
Убить Эскобара,,Документальный,,,,
Персиполис,"Тегеран, 1978 год. Восьмилетняя Маржан мечтает стать пророком и спасти человечество. Она увлеченно следит за событиями, которые вскоре приводят к революции и падению режима шаха. С установлением исламской республики приходит время «революционных комиссаров». Маржан вынуждена теперь носить чадру, но в мечтах видит себя революционеркой. С началом войны против Ирака начинаются бомбардировки, лишения, исчезновение близких людей, репрессии усиливаются. Свободолюбивая и бунтарская натура девочки может привести к беде, поэтому родители отправляют ее в Европу.",Анимация,1978,,надежда,
революционных комиссаров,"Тегеран, 1978 год. Восьмилетняя Маржан мечтает стать пророком и спасти человечество. Она увлеченно следит за событиями, которые вскоре приводят к революции и падению режима шаха. С установлением исламской республики приходит время «революционных комиссаров». Маржан вынуждена теперь носить чадру, но в мечтах видит себя революционеркой. С началом войны против Ирака начинаются бомбардировки, лишения, исчезновение близких людей, репрессии усиливаются. Свободолюбивая и бунтарская натура девочки может привести к беде, поэтому родители отправляют ее в Европу.",Анимация,1978,,надежда,
Клеопатра,,,,,,
Апокалипсис сегодня,,,,,,
Вор и сапожник,,,,,,
Король и птица,,,,,,
Отрочество,,,,,,
Судьба,,,,,,
Сердце тьмы,"Отправной точкой для создателей фильма послужила повесть Джозефа Конрада «Сердце тьмы» (1902). Во время Вьетнамской войны капитан Уиллард отправляется вверх по реке в Камбоджу со спецзаданием: найти и убить сумасшедшего полковника Курца, создавшего в отдалённом районе нечто вроде собственного культа. По пути капитан становится свидетелем безумия и ужасов войны.",,,,,
Трудно Быть Богом,Экранизация романа братьев Стругацких.,,,,,
Зимняя война,"Батальный эпос о событиях зимней войны 39-40 годов, посвящённый финским солдатам, оборонявшим линию Манергейма. Главная роль – Танели Мякеля.",,,,,
Макс Манус,"Максу Манусу было чуть больше двадцати, когда началась Вторая Мировая Война, и Норвегию оккупировали нацисты. Макс стал одним из самых бесстрашных и изобретательных диверсантов норвежского сопротивления. Под его командованием команда молодых ребят взрывала немецкие танкеры и захватывала штаб-квартиры в центре оккупированной столицы, кишащей гестаповцами. На несколько страшных лет война стала жизнью для Макса - на ней он встретил свою настоящую любовь, на ней же потерял лучшего друга. Главная роль – Аксель Хенни.",,,,одиночество,
